path_pattern,contract_family,producers,consumers,formats_seen,hard_coded_reference,generated,reproducibility_role,regeneration_safety,migration_risk,notes
outputs/signals/,signal tables,docs/large_universe_pipline.md;docs/market_intelligence_v5_0.md;docs/output_cleanup_plan.md;docs/research_notes/market_graph_fabric.md;docs/research_notes/next_steps.md;scripts/apply_context_to_mean_reversion_signals.py;scripts/apply_deformation_weights_to_mean_reversion_signals.py;scripts/apply_survivable_volatility.py;scripts/archive/visual_experiments/build_market_fabric_frames.py;scripts/archive/visual_experiments/render_market_fabric.py;scripts/backtest_mean_reversion_daily_portfolio.py;scripts/backtest_mean_reversion_monte_carlo.py;scripts/build_combined_market_signal_state.py;scripts/build_pseudo_allocator_feature_table.py;scripts/compare_actual_closed_trades.py;scripts/compare_deformation_weight_changed_orders.py;scripts/create_market_cap_boost_signals.py;scripts/create_market_cap_rank_bonus_signals.py;scripts/create_market_cap_tiebreaker_signals.py;scripts/create_survivable_vol_backtest_signals.py;scripts/create_survivable_vol_penalty_only_signals.py;scripts/evaluate_mean_reversion_by_compression_bucket.py;scripts/evaluate_mean_reversion_by_deformation.py;scripts/evaluate_mean_reversion_by_deformation_subperiods.py;scripts/evaluate_mean_reversion_by_deformation_yearly.py;scripts/evaluate_mean_reversion_signals.py;scripts/export_combined_allocator_signals.py;scripts/export_rust_matrix_inputs.py;scripts/export_rust_portfolio_inputs.py;scripts/export_rust_stress_inputs.py;scripts/launch_long_intelligence_training.py;scripts/run_allocator_market_fabric_latest.sh;scripts/run_combined_allocator_market_fabric.sh;scripts/run_combined_allocator_market_fabric_latest.sh;scripts/run_historical_intelligence_stress.py;scripts/run_mean_reversion_signals.py;scripts/stress_mean_reversion_monte_carlo.py;visuals/README.md,docs/experiments/market_cap_rank_bonus.md;docs/market_intelligence_experiment_summary_2026_06_23.md;docs/market_intelligence_v1_6.md;docs/market_intelligence_v1_6_1.md;docs/market_intelligence_v1_7.md;docs/market_intelligence_v2_0.md;docs/market_intelligence_v2_1.md;docs/market_intelligence_v3_2.md;docs/market_intelligence_v3_3.md;docs/market_intelligence_v3_3_1.md;docs/market_intelligence_v3_5.md;docs/market_intelligence_v4_3.md;docs/market_intelligence_v4_9.md;docs/market_intelligence_v5_0_1.md;docs/research_notes/regime_correlation_deformation.md;scripts/inspect_mean_reversion_signals.py;scripts/run_multi_period_intelligence_research.py,.parquet,yes,yes,intermediate pipeline contract; selected files are research evidence,unknown until manifest/input hashes exist,high,"Do not move until producers, consumers, and schemas have compatibility tests."
outputs/context/,context and deformation tables,docs/output_cleanup_plan.md;docs/research_notes/market_graph_fabric.md;docs/research_notes/next_steps.md;scripts/apply_context_to_mean_reversion_signals.py;scripts/apply_deformation_weights_to_mean_reversion_signals.py;scripts/archive/visual_experiments/build_market_fabric_frames.py;scripts/build_combined_market_signal_state.py;scripts/build_pseudo_allocator_feature_table.py;scripts/evaluate_mean_reversion_by_compression_bucket.py;scripts/evaluate_mean_reversion_by_deformation.py;scripts/evaluate_mean_reversion_by_deformation_subperiods.py;scripts/evaluate_mean_reversion_by_deformation_yearly.py;scripts/merge_regime_deformation_into_context.py;scripts/run_allocator_market_fabric_latest.sh;scripts/run_combined_allocator_market_fabric.sh;scripts/run_combined_allocator_market_fabric_latest.sh;scripts/run_market_context_features.py;scripts/run_regime_correlation_features.py;visuals/README.md,docs/research_notes/regime_correlation_deformation.md,.parquet,yes,yes,intermediate pipeline contract,unknown until manifest/input hashes exist,high,"Do not move until producers, consumers, and schemas have compatibility tests."
outputs/correlation/,"correlation, peers, spreads",scripts/build_combined_market_signal_state.py;scripts/build_pseudo_allocator_feature_table.py;scripts/merge_regime_deformation_into_context.py;scripts/plot_regime_deformation_diagnostics.py;scripts/run_combined_allocator_market_fabric.sh;scripts/run_combined_allocator_market_fabric_latest.sh;scripts/run_correlation_features.py;scripts/run_mean_reversion_signals.py;scripts/run_peer_spread_features.py;scripts/run_peer_spread_features_from_cached_matrix.py;scripts/run_regime_correlation_features.py,docs/research_notes/regime_correlation_deformation.md;scripts/inspect_correlation_features.py;scripts/inspect_regime_correlation_features.py,.csv;.parquet,yes,yes,intermediate pipeline contract,unknown until manifest/input hashes exist,high,"Do not move until producers, consumers, and schemas have compatibility tests."
outputs/intelligence/,"reports, event datasets, training runs",docs/market_intelligence_v4_2.md;docs/market_intelligence_v4_4.md;docs/market_intelligence_v4_6.md;docs/market_intelligence_v4_7.md;docs/market_intelligence_v4_8.md;docs/market_intelligence_v5_0.md;scripts/apply_intelligence_to_signals.py;scripts/audit_event_day_impact_dataset.py;scripts/audit_event_impact_dataset.py;scripts/build_contextual_event_features.py;scripts/build_llm_benchmark_sample.py;scripts/classify_event_facts_llm.py;scripts/compare_allocator_intelligence.py;scripts/compare_allocator_rankings.py;scripts/compare_llm_classification_runs.py;scripts/diagnose_allocator_intelligence.py;scripts/extract_contextual_events.py;scripts/launch_long_intelligence_training.py;scripts/live_intraday_intelligence_loop.py;scripts/monte_carlo_allocator_intelligence.py;scripts/monte_carlo_strategy_grid.py;scripts/run_historical_intelligence_stress.py;scripts/run_llm_classification_batch.py;scripts/summarize_market_intelligence.py;scripts/train_event_day_baseline.py;scripts/workers/run_balanced_source_fetch_worker.sh;scripts/workers/run_source_fetch_worker.sh,docs/intelligence/event_learning_milestone_1.md;docs/market_intelligence_engine.md;docs/market_intelligence_v1_2.md;docs/market_intelligence_v1_6.md;docs/market_intelligence_v1_6_1.md;docs/market_intelligence_v1_7.md;docs/market_intelligence_v1_9.md;docs/market_intelligence_v2_0.md;docs/market_intelligence_v2_1.md;docs/market_intelligence_v2_8.md;docs/market_intelligence_v3_2.md;docs/market_intelligence_v3_3.md;docs/market_intelligence_v3_3_1.md;docs/market_intelligence_v3_4.md;docs/market_intelligence_v3_4_1.md;docs/market_intelligence_v3_5.md;docs/market_intelligence_v3_6.md;docs/market_intelligence_v3_7.md;docs/market_intelligence_v3_8.md;docs/market_intelligence_v3_9.md;docs/market_intelligence_v4_0.md;docs/market_intelligence_v4_1.md;docs/market_intelligence_v4_3.md;docs/market_intelligence_v4_5.md;docs/market_intelligence_v4_9.md;docs/market_intelligence_v5_0_1.md;docs/market_intelligence_v5_0_2.md;docs/market_intelligence_v5_1_evidence_graph.md;docs/market_intelligence_v5_2_provider_policy.md;docs/market_intelligence_v5_7_1_training_launcher_fix.md;docs/market_intelligence_v5_7_2_training_launcher_prices.md;docs/market_intelligence_v5_7_long_training_launcher.md;scripts/build_event_day_impact_dataset.py;scripts/build_event_fact_table.py;scripts/build_event_impact_dataset.py;scripts/calibrate_intelligence_weights.py;scripts/inspect_evidence_graph.py;scripts/join_llm_classifications.py;scripts/label_event_forward_outcomes.py;scripts/prune_intelligence_training_runs.py;scripts/run_intelligence_training_batch.py;scripts/run_market_intelligence_demo.py;scripts/run_multi_period_intelligence_research.py;scripts/run_pool_intelligence_training.py;scripts/run_worker_sources_to_events.sh;scripts/workers/send_llm_worker_bundle.sh,.*;.csv;.json;.jsonl;.jsonl*;.log;.parquet;.png;.txt,yes,yes,"mixed: contract, evidence, and cache",unknown until manifest/input hashes exist,high,"Do not move until producers, consumers, and schemas have compatibility tests."
outputs/threshold_rebalance/,allocator trials and summaries,scripts/threshold_rebalance_fast_v2.py;scripts/threshold_rebalance_fast_v3.py;scripts/threshold_rebalance_from_feature_matrix.py;scripts/threshold_rebalance_matrix_engine.py,docs/artifact_policy.md;docs/experiments/rebalance_frequency_tests.md,,yes,yes,research evidence; compact selected baselines,likely regenerable,medium,"Do not move until producers, consumers, and schemas have compatibility tests."
outputs/rust_inputs/,Rust binary inputs and metadata,scripts/compare_deformation_weight_changed_orders.py;scripts/export_rust_portfolio_inputs.py;scripts/export_rust_stress_inputs.py,,.csv,yes,yes,cross-language contract,unknown until manifest/input hashes exist,high,"Do not move until producers, consumers, and schemas have compatibility tests."
outputs/rust_stress/,Rust stress runs,scripts/compare_actual_closed_trades.py,docs/experiments/market_cap_rank_bonus.md;docs/research_notes/regime_correlation_deformation.md,.csv,yes,yes,research evidence plus regenerable runs,unknown until manifest/input hashes exist,high,"Do not move until producers, consumers, and schemas have compatibility tests."
outputs/market_fabric/,allocator/trade overlays,scripts/augment_market_graph_frames_with_allocator_overlay.py;scripts/build_market_fabric_allocator_overlay.py;scripts/build_market_fabric_visual_overlay.py;scripts/build_market_fabric_visual_overlay_from_combined_state.py;scripts/run_allocator_market_fabric_latest.sh;scripts/run_combined_allocator_market_fabric.sh;scripts/run_combined_allocator_market_fabric_latest.sh,docs/research_notes/regime_correlation_deformation.md,.csv;.parquet,yes,yes,visualization contract,unknown until manifest/input hashes exist,high,"Do not move until producers, consumers, and schemas have compatibility tests."
outputs/market_graph_fabric_frames/,frame caches and summaries,scripts/run_allocator_market_fabric_latest.sh;scripts/run_combined_allocator_market_fabric.sh;scripts/run_combined_allocator_market_fabric_latest.sh,docs/research_notes/large_universe_allocator_and_market_fabric.md,.json,yes,yes,generated visualization artifact; selected runs preserve evidence,unknown until manifest/input hashes exist,high,"Do not move until producers, consumers, and schemas have compatibility tests."
outputs/intelligence/training_runs/,walk-forward predictions and manifests,docs/market_intelligence_v4_2.md;docs/market_intelligence_v4_4.md;docs/market_intelligence_v4_6.md;docs/market_intelligence_v4_7.md;docs/market_intelligence_v4_8.md;docs/market_intelligence_v5_0.md;scripts/run_historical_intelligence_stress.py,docs/intelligence/event_learning_milestone_1.md;docs/market_intelligence_v3_8.md;docs/market_intelligence_v3_9.md;docs/market_intelligence_v4_0.md;docs/market_intelligence_v4_1.md;docs/market_intelligence_v4_3.md;docs/market_intelligence_v4_5.md;docs/market_intelligence_v4_9.md;docs/market_intelligence_v5_0_1.md;docs/market_intelligence_v5_0_2.md;docs/market_intelligence_v5_7_1_training_launcher_fix.md;docs/market_intelligence_v5_7_2_training_launcher_prices.md;docs/market_intelligence_v5_7_long_training_launcher.md;scripts/run_multi_period_intelligence_research.py;scripts/run_pool_intelligence_training.py,.csv;.jsonl;.log;.parquet;.png,yes,yes,research evidence; retention requires explicit promotion,unknown until manifest/input hashes exist,high,"Do not move until producers, consumers, and schemas have compatibility tests."
