path,category,exists,scanned_file_by_file,notes
stock-backtester/.venv,PYTHON ENVIRONMENT,yes,no,Presence recorded without descending into bulk contents.
stock-backtester/.vnev,PYTHON ENVIRONMENT,yes,no,Presence recorded without descending into bulk contents.
stock-backtester/outputs,GENERATED OUTPUT,yes,no,Presence recorded without descending into bulk contents.
stock-backtester/data,DATA / CACHE,yes,no,Presence recorded without descending into bulk contents.
stock-backtester/rust_engine/target,RUST BUILD PRODUCT,yes,no,Presence recorded without descending into bulk contents.
stock-backtester/archive,ARCHIVE / REPRODUCIBILITY,yes,no,Presence recorded without descending into bulk contents.
worker_ingest,DATA / CACHE,yes,no,Presence recorded without descending into bulk contents.
market_intelligence_v3_0_overlay,OVERLAY,yes,bounded source/doc scan,Patch source and documentation only.
market_intelligence_v4_4_overlay,OVERLAY,yes,bounded source/doc scan,Patch source and documentation only.
market_intelligence_v4_5_overlay,OVERLAY,yes,bounded source/doc scan,Patch source and documentation only.
market_intelligence_v4_6_overlay,OVERLAY,yes,bounded source/doc scan,Patch source and documentation only.
market_intelligence_v4_7_overlay,OVERLAY,yes,bounded source/doc scan,Patch source and documentation only.
market_intelligence_v4_8_overlay,OVERLAY,yes,bounded source/doc scan,Patch source and documentation only.
market_intelligence_v4_9_overlay,OVERLAY,yes,bounded source/doc scan,Patch source and documentation only.
market_intelligence_v5_0_1_overlay,OVERLAY,yes,bounded source/doc scan,Patch source and documentation only.
market_intelligence_v5_0_2_overlay,OVERLAY,yes,bounded source/doc scan,Patch source and documentation only.
market_intelligence_v5_0_overlay,OVERLAY,yes,bounded source/doc scan,Patch source and documentation only.
stock-backtester/market_intelligence_v2_10_overlay,OVERLAY,yes,bounded source/doc scan,Patch source and documentation only.
stock-backtester/market_intelligence_v2_2_overlay,OVERLAY,yes,bounded source/doc scan,Patch source and documentation only.
stock-backtester/market_intelligence_v2_3_overlay,OVERLAY,yes,bounded source/doc scan,Patch source and documentation only.
stock-backtester/market_intelligence_v2_4_overlay,OVERLAY,yes,bounded source/doc scan,Patch source and documentation only.
stock-backtester/market_intelligence_v2_5_overlay,OVERLAY,yes,bounded source/doc scan,Patch source and documentation only.
stock-backtester/market_intelligence_v2_6_1_overlay,OVERLAY,yes,bounded source/doc scan,Patch source and documentation only.
stock-backtester/market_intelligence_v2_6_2_overlay,OVERLAY,yes,bounded source/doc scan,Patch source and documentation only.
stock-backtester/market_intelligence_v2_6_overlay,OVERLAY,yes,bounded source/doc scan,Patch source and documentation only.
stock-backtester/market_intelligence_v2_7_1_overlay,OVERLAY,yes,bounded source/doc scan,Patch source and documentation only.
stock-backtester/market_intelligence_v2_7_2_overlay,OVERLAY,yes,bounded source/doc scan,Patch source and documentation only.
stock-backtester/market_intelligence_v2_7_3_overlay,OVERLAY,yes,bounded source/doc scan,Patch source and documentation only.
stock-backtester/market_intelligence_v2_7_4_overlay,OVERLAY,yes,bounded source/doc scan,Patch source and documentation only.
stock-backtester/market_intelligence_v2_7_5_overlay,OVERLAY,yes,bounded source/doc scan,Patch source and documentation only.
stock-backtester/market_intelligence_v2_7_overlay,OVERLAY,yes,bounded source/doc scan,Patch source and documentation only.
stock-backtester/market_intelligence_v2_8_1_overlay,OVERLAY,yes,bounded source/doc scan,Patch source and documentation only.
stock-backtester/market_intelligence_v2_8_overlay,OVERLAY,yes,bounded source/doc scan,Patch source and documentation only.
