path,classification,subsystem,status,imports,input_paths,output_paths,invoked_by,docs_references,sacred,migration_risk,likely_destination,confidence,evidence
scripts/__init__.py,UNCERTAIN,general,UNCERTAIN,,,,,,no,MEDIUM,USER DECISION REQUIRED,LOW,no sufficiently strong static role evidence
scripts/apply_calibrated_intelligence.py,TRAINING,intelligence,ACTIVE RESEARCH,__future__;argparse;backtester.intelligence.calibrated_adjustment;pathlib;sys,,,docs/market_intelligence_v2_9.md,docs/market_intelligence_v2_9.md,no,MEDIUM,src/quant_research or research/experiments,MEDIUM,training/classification/calibration behavior
scripts/apply_context_to_mean_reversion_signals.py,DATA TRANSFORMATION,mean_reversion,ACTIVE RESEARCH,__future__;argparse;pandas;pathlib,,outputs/context/market_context.parquet;outputs/signals/mean_reversion_signals.parquet;outputs/signals/mean_reversion_signals_context_adjusted.parquet,,,no,MEDIUM,src/quant_research or research/experiments,MEDIUM,derived-table or export behavior
scripts/apply_deformation_weights_to_mean_reversion_signals.py,DATA TRANSFORMATION,correlation_deformation,ACTIVE RESEARCH,__future__;argparse;pandas;pathlib,,outputs/context/market_context_with_regime_deformation.parquet;outputs/signals/mean_reversion_signals_context_adjusted.parquet;outputs/signals/mean_reversion_signals_deformation_weighted.parquet,docs/research_notes/regime_correlation_deformation.md,docs/research_notes/regime_correlation_deformation.md,no,MEDIUM,src/quant_research or research/experiments,MEDIUM,derived-table or export behavior
scripts/apply_intelligence_to_signals.py,DATA TRANSFORMATION,intelligence,ACTIVE RESEARCH,__future__;argparse;backtester.intelligence.signal_integration;pathlib;sys,,outputs/intelligence/intelligence_features.csv,,,no,HIGH,src/quant_research or research/experiments,MEDIUM,derived-table or export behavior
scripts/apply_ml_policy_strength.py,DATA TRANSFORMATION,general,ACTIVE RESEARCH,__future__;argparse;numpy;pandas;pathlib,,,docs/market_intelligence_v4_5.md,docs/market_intelligence_v4_5.md,no,MEDIUM,src/quant_research or research/experiments,MEDIUM,derived-table or export behavior
scripts/apply_survivable_volatility.py,DATA TRANSFORMATION,market_state,ACTIVE RESEARCH,__future__;pandas;pathlib;src.features.survivable_volatility,,outputs/features/survivable_vol_price_features.parquet;outputs/signals/mean_reversion_signals_context_adjusted.parquet;outputs/signals/mean_reversion_signals_survivable_vol.parquet,,,no,MEDIUM,src/quant_research or research/experiments,MEDIUM,derived-table or export behavior
scripts/archive/visual_experiments/build_market_fabric_frames.py,ARCHIVED / HISTORICAL,market_fabric,HISTORICAL,__future__;argparse;cupy;json;numpy;pandas;pathlib;scipy.interpolate;scipy.ndimage;scipy.spatial;time;typing;warnings,,/tmp/quant_returns/.../returns_meta.json;outputs/context/market_context.parquet;outputs/reports/plots/market_fabric_vispy_2020;outputs/signals/large_universe_peer_spread_long_top5_v1.parquet,,,no,MEDIUM,research/history or archive manifest,HIGH,archive/legacy path; preserved explicitly
scripts/archive/visual_experiments/filter_peer_spread_signals_with_cooldown.py,ARCHIVED / HISTORICAL,market_fabric,HISTORICAL,__future__;argparse;pandas;pathlib,,,,,no,MEDIUM,research/history or archive manifest,HIGH,archive/legacy path; preserved explicitly
scripts/archive/visual_experiments/plot_market_manifold.py,ARCHIVED / HISTORICAL,market_fabric,HISTORICAL,__future__;argparse;json;matplotlib.pyplot;numpy;pandas;pathlib,,,,,no,MEDIUM,research/history or archive manifest,HIGH,archive/legacy path; preserved explicitly
