subsystem,canonical_paths,primary_entries,status,authority_confidence,major_inputs,major_outputs,callers_consumers,historical_descendants,migration_risk,notes,user_decision
packaged backtester,src/backtester/cli.py;src/backtester/engines/position_engine.py;src/backtester/engines/event_engine.py,src/backtester/cli.py,ACTIVE CORE,HIGH,prices;strategy parameters,outputs/backtests;outputs/reports,scripts/test_*;docs/systems,scripts/legacy;older CLI history,medium,"Stable original CLI, not the sole entry point for newer research.",
mean-reversion signals,src/backtester/signals/mean_reversion.py,scripts/run_mean_reversion_signals.py,ACTIVE CORE,HIGH,peer_spreads.parquet,outputs/signals/*.parquet,context/deformation/intelligence scripts,older standalone signal scripts,high,Canonical builder is clear; adjustment layers remain separate.,
volatility/GARCH,src/backtester/analytics/volatility.py;src/backtester/analytics/fast_volatility.py,src/backtester/analytics/volatility.py,ACTIVE CORE,HIGH,price series,volatility metric tables,decision and MarketState modules,legacy garch import names,medium,Several scripts retain compatibility imports for old module names.,
entropy,src/backtester/analytics/entropy.py,src/backtester/analytics/entropy.py,ACTIVE CORE,HIGH,returns,entropy metrics and decisions,decision/market_context,older MarketState scripts,medium,Reusable feature layer.,
market context,src/backtester/context/market_context.py;src/backtester/decision/market_state.py,scripts/run_market_context_features.py,REUSABLE INFRASTRUCTURE,HIGH,"prices, volatility, entropy",outputs/context/*.parquet,mean-reversion and allocator scripts,older MarketState runners,high,Context and MarketState overlap conceptually but should not be merged yet.,
correlation/deformation,src/backtester/correlation/,scripts/run_correlation_features.py; scripts/run_regime_correlation_features.py,ACTIVE RESEARCH,HIGH,price/returns matrices,outputs/correlation/*.parquet;outputs/context/*deformation*,"peer spreads, signals, market fabric",correlation tracker predecessors,high,Current reusable correlation package plus script orchestration.,
large-universe pipeline,scripts/build_universe.py;scripts/export_rust_matrix_inputs.py;scripts/export_returns_matrix.py;scripts/large_universe_peer_search.py;scripts/generate_peer_basket_spreads.py,scripts/export_rust_matrix_inputs.py,ACTIVE RESEARCH,HIGH,"universe files, binary matrices","matrix metadata, peers, spreads, Rust inputs",Rust stress; market fabric,small-universe mean-reversion path,high,Standalone matrix-oriented workflow with literal temp paths and schemas.,
matrix allocator,src/backtester/engines/matrix_allocator_engine.py,scripts/threshold_rebalance_matrix_engine.py,REUSABLE INFRASTRUCTURE,HIGH,feature/price matrices,threshold summaries and curves,benchmark and Monte Carlo scripts,threshold_rebalance_fast_v2/v3,high,"Reusable bridge, not final allocator.",
Python Monte Carlo,scripts/monte_carlo_from_feature_matrix.py;scripts/monte_carlo_market_state.py;research/combined_signals/monte_carlo_strategy_grid.py;research/combined_signals/monte_carlo_allocator_intelligence.py,family-specific runners,ACTIVE RESEARCH,MEDIUM,"features, prices, signals",outputs/monte_carlo/*,scorecards and reports,older one-off Monte Carlo scripts,medium,Legitimate distinct families; combined-signal runners are research-owned; do not consolidate yet.,
Rust stress engine,rust_engine/src/,rust_engine stress_mc; scripts/export_rust_*,REUSABLE INFRASTRUCTURE,HIGH,"binary prices, orders CSV, metadata",outputs/rust_stress/*,stress summaries and plots,earlier Rust engine commits,high,Python/Rust schema boundary.,
