path,size_bytes,file_count,directory_count,primary_classification,regenerability,path_disposition,writer_summary,reader_summary,durable,provenance_quality,preservation_decision,notes
outputs/allocator/,9100239,6,0,PIPELINE_INTERMEDIATE,PARTIALLY_REGENERABLE,PATH_CONTRACT,"build_combined_market_signal_state.py; build_pseudo_allocator_feature_table.py","allocator export and market-fabric commands",yes,WEAK_PROVENANCE,KEEP_IN_PLACE,"Combined allocator tables; no H20/H100 authority decision"
outputs/backtests/,1484942,40,8,DURABLE_RESEARCH_EVIDENCE,PARTIALLY_REGENERABLE,KEEP_IN_PLACE,"daily portfolio and mean-reversion Monte Carlo commands","human comparison and downstream reports",yes,PARTIAL_PROVENANCE,KEEP_IN_PLACE,"H5/H20/H100 and execution variants remain distinct"
outputs/cache/,89188535,19,8,CACHE,PARTIALLY_REGENERABLE,PATH_CONTRACT,"universe matrix returns and market-cap builders","one-pass peer search and signal adjustment commands",no,PARTIAL_PROVENANCE,KEEP_IN_PLACE,"Binary matrices and metadata are paired contracts; costly but not authority"
outputs/compact_artifacts/,21590303,70,2,HISTORICAL_RESULT,PARTIALLY_REGENERABLE,KEEP_IN_PLACE,"compact_intelligence_run.py","human archaeology and recovery",yes,GOOD_PROVENANCE,KEEP_IN_PLACE,"v5.8 historical ML-policy compact archive with manifests"
outputs/comparisons/,345296,6,6,REPORT,REGENERABLE,KEEP_IN_PLACE,"regime comparison and basket summary commands","human analysis",no,WEAK_PROVENANCE,KEEP_IN_PLACE,"Small comparison tables and plot"
outputs/context/,333625,2,0,PIPELINE_INTERMEDIATE,PARTIALLY_REGENERABLE,PATH_CONTRACT,"market-context and deformation merge commands","signal adjustment allocator and correlation evaluations",yes,PARTIAL_PROVENANCE,KEEP_IN_PLACE,"Two literal default-path Parquet handoffs"
outputs/correlation/,118836411,15,0,PIPELINE_INTERMEDIATE,PARTIALLY_REGENERABLE,PATH_CONTRACT,"package tabular staged cached one-pass cached and regime-correlation commands","mean-reversion signal builders and diagnostics",yes,WEAK_PROVENANCE,KEEP_IN_PLACE,"Three peer/spread regimes and historical schemas remain separate"
outputs/dividend/,60445,3,4,HISTORICAL_RESULT,NOT_PROVEN_REGENERABLE,KEEP_IN_PLACE,"no exact current writer found","strategy_scorecard path convention and human analysis",yes,WEAK_PROVENANCE,KEEP_IN_PLACE,"Separate from repository-root historical dividend research outputs"
outputs/entropy/,1156695,5,5,REPORT,REGENERABLE,KEEP_IN_PLACE,"test_entropy_engine.py","human diagnostics",no,WEAK_PROVENANCE,KEEP_IN_PLACE,"Per-ticker plots"
outputs/experiments/,11125263,34,37,DURABLE_RESEARCH_EVIDENCE,PARTIALLY_REGENERABLE,KEEP_IN_PLACE,"experiment commands and backtester CLI","human comparison",yes,PARTIAL_PROVENANCE,KEEP_IN_PLACE,"Run-family names preserve experiment identity"
outputs/feature_matrix/,14291028,36,12,PIPELINE_INTERMEDIATE,PARTIALLY_REGENERABLE,PATH_CONTRACT,"MarketState and survivable-volatility feature builders","threshold and Monte Carlo commands plus benchmarks",yes,PARTIAL_PROVENANCE,KEEP_IN_PLACE,"Per-run metadata exists but does not include complete revision and input hashes"
outputs/features/,2145858,1,0,PIPELINE_INTERMEDIATE,PARTIALLY_REGENERABLE,PATH_CONTRACT,"build_survivable_vol_price_features.py","apply_survivable_volatility.py",yes,WEAK_PROVENANCE,KEEP_IN_PLACE,"Single literal-default Parquet handoff"
outputs/intelligence/,498789670,1757,88,MODEL_OR_TRAINING_ARTIFACT,PARTIALLY_REGENERABLE,PATH_CONTRACT,"event-learning operational-fallback LLM calibration and historical ML-policy commands","event-learning evaluations signal integration training comparisons and humans",yes,PARTIAL_PROVENANCE,KEEP_IN_PLACE,"Mixed authority: 468305214 bytes are historical training_runs; current event-learning tables coexist but are not ML-policy authority"
outputs/market_fabric/,480923,5,0,PIPELINE_INTERMEDIATE,PARTIALLY_REGENERABLE,PATH_CONTRACT,"market-fabric allocator and visual overlay builders","frame augmentation and visual diagnostics",yes,PARTIAL_PROVENANCE,KEEP_IN_PLACE,"Visualization handoff rather than allocator authority"
outputs/market_fabric_trade_overlay/,84134,8,2,PIPELINE_INTERMEDIATE,PARTIALLY_REGENERABLE,KEEP_IN_PLACE,"build_market_fabric_trade_overlay.py with caller-supplied output paths","augment_market_graph_frames_with_trade_overlay.py and humans",yes,WEAK_PROVENANCE,KEEP_IN_PLACE,"Two named historical overlay runs; exact directory is not a tracked default"
outputs/market_graph_fabric_frames/,20205841,291,24,REPORT,REGENERABLE,PATH_CONTRACT,"market-fabric frame builders and augmentation commands","visualization commands and humans",yes,GOOD_PROVENANCE,KEEP_IN_PLACE,"Run manifests exist; frames are diagnostic but selected runs are evidence"
